game_date,home_team,away_team,home_pts,away_pts,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_fg_pct,away_fg_pct,home_elo,away_elo,home_injuries,away_injuries,home_roll5_pts,away_roll5_pts,home_roll5_reb,away_roll5_reb,home_roll5_ast,away_roll5_ast,point_diff,reb_diff,ast_diff,tov_diff,elo_diff,injury_diff,roll5_point_diff,roll5_reb_diff,roll5_ast_diff,home_advantage,home_win
2023-10-01,DAL,OKC,96.7,100.1,46.6,39.4,26.1,13.5,16.0,15.9,0.437,0.483,1478.0,1358.1,1,3,102.7,105.2,40.8,44.2,29.4,19.7,-3.5,7.2,12.6,0.2,119.9,2,-2.5,-3.4,9.7,1,0
2023-10-02,OKC,DET,111.3,94.3,42.0,48.1,23.8,19.1,11.2,13.6,0.534,0.372,1518.9,1373.7,2,1,111.6,98.9,45.7,39.3,27.6,26.3,17.0,-6.1,4.7,-2.4,145.2,-1,12.6,6.4,1.3,1,1
2023-10-03,TOR,UTA,96.4,104.5,45.7,40.9,27.3,18.0,15.7,16.3,0.496,0.443,1580.4,1447.2,3,0,116.5,115.0,49.1,45.1,24.8,22.1,-8.1,4.8,9.4,-0.6,133.2,-3,1.5,4.0,2.7,1,0
2023-10-04,DAL,TOR,128.5,83.1,31.9,42.9,28.3,25.4,13.3,17.4,0.448,0.429,1527.3,1415.3,1,1,106.0,109.1,46.5,44.9,28.5,28.1,45.3,-11.0,2.9,-4.2,112.0,0,-3.1,1.6,0.4,1,1
2023-10-05,DAL,ATL,120.2,93.8,38.4,48.6,21.5,21.3,11.5,11.5,0.408,0.462,1755.5,1363.3,3,0,109.9,98.6,44.9,41.7,27.5,25.4,26.4,-10.1,0.2,0.0,392.2,-3,11.3,3.2,2.1,1,1
2023-10-06,ATL,BOS,114.1,93.2,42.1,40.1,23.3,27.1,14.0,10.6,0.46,0.505,1581.4,1592.4,2,2,121.1,107.8,42.0,42.5,23.3,19.3,20.9,2.0,-3.8,3.4,-11.0,0,13.3,-0.5,4.0,1,1
2023-10-07,NY,DET,99.0,109.7,52.7,50.5,21.9,17.6,12.0,13.6,0.493,0.46,1421.5,1542.5,0,0,120.4,116.7,42.4,44.7,26.9,26.5,-10.8,2.2,4.3,-1.5,-121.0,0,3.7,-2.3,0.3,1,0
2023-10-08,MIA,WAS,95.4,122.2,48.7,46.1,21.2,27.8,10.7,10.4,0.415,0.456,1581.6,1370.4,1,1,103.8,109.2,44.8,46.5,26.0,24.0,-26.8,2.6,-6.6,0.3,211.2,0,-5.4,-1.7,2.0,1,0
2023-10-09,ATL,CLE,109.9,110.9,37.1,46.5,30.9,23.5,14.2,14.0,0.389,0.535,1500.5,1603.7,3,0,108.3,100.5,43.6,37.0,23.2,23.2,-1.0,-9.4,7.4,0.2,-103.2,-3,7.8,6.5,-0.0,1,0
2023-10-10,LAL,POR,106.0,92.8,48.2,46.2,20.7,31.1,9.1,11.0,0.43,0.382,1438.0,1532.5,3,1,98.5,94.5,43.3,50.0,24.6,20.4,13.2,1.9,-10.4,-1.9,-94.6,-2,4.0,-6.7,4.2,1,1
2023-10-11,WAS,UTA,111.8,121.5,45.7,43.2,26.4,22.5,7.4,9.1,0.499,0.419,1479.1,1513.8,3,0,109.1,103.5,43.5,41.8,29.8,22.3,-9.7,2.5,3.9,-1.8,-34.7,-3,5.6,1.7,7.5,1,0
2023-10-12,ATL,SA,100.5,133.9,44.4,40.1,28.3,31.7,12.0,9.4,0.452,0.459,1541.7,1452.8,3,0,103.5,102.6,44.2,47.3,23.2,30.3,-33.5,4.4,-3.4,2.6,88.8,-3,0.9,-3.1,-7.2,1,0
2023-10-13,ORL,CHI,106.1,111.1,47.6,48.6,37.7,26.4,13.3,16.1,0.499,0.409,1643.6,1496.3,0,2,113.6,115.5,48.4,42.0,26.5,21.4,-5.0,-1.0,11.3,-2.8,147.2,2,-1.9,6.4,5.1,1,1
2023-10-14,MIN,BKN,94.8,97.1,51.2,53.8,19.8,23.8,17.7,14.6,0.421,0.443,1420.9,1472.8,0,0,106.0,122.0,38.3,49.1,29.2,22.2,-2.3,-2.6,-4.0,3.1,-51.9,0,-16.0,-10.7,7.0,1,1
2023-10-15,PHX,PHI,128.6,100.7,42.8,48.7,23.4,23.0,13.8,15.6,0.46,0.439,1594.5,1431.0,1,2,110.8,123.7,46.8,41.0,22.5,20.4,27.9,-5.9,0.3,-1.8,163.5,1,-13.0,5.8,2.2,1,1
2023-10-16,POR,DAL,119.5,105.2,44.9,39.9,21.4,22.7,13.2,14.2,0.433,0.427,1598.0,1414.2,2,1,111.9,111.5,43.7,46.6,25.6,27.5,14.3,5.1,-1.3,-1.0,183.8,-1,0.5,-2.9,-1.9,1,0
2023-10-17,POR,LAC,102.0,98.8,51.8,43.8,16.9,29.1,17.7,15.3,0.448,0.47,1519.6,1487.1,2,3,115.5,107.1,43.8,44.3,25.7,21.7,3.2,8.0,-12.2,2.4,32.5,1,8.4,-0.5,4.0,1,0
2023-10-18,LAL,MIA,116.0,97.3,55.8,39.8,21.9,21.6,15.6,6.6,0.467,0.429,1695.2,1419.3,0,3,111.2,111.6,39.3,46.9,26.1,26.2,18.7,16.0,0.3,9.0,275.9,3,-0.4,-7.6,-0.1,1,1
2023-10-19,PHX,MIN,95.2,123.5,45.9,40.6,30.6,28.6,11.7,11.9,0.474,0.422,1518.9,1488.8,0,2,111.7,108.8,43.5,44.5,29.9,26.4,-28.2,5.3,2.0,-0.2,30.1,2,2.9,-1.0,3.5,1,0
2023-10-20,OKC,LAL,119.8,112.9,41.7,44.0,21.9,22.3,10.4,16.8,0.433,0.446,1546.9,1555.0,3,0,105.4,118.2,43.3,42.8,32.6,27.4,6.8,-2.3,-0.4,-6.4,-8.1,-3,-12.7,0.5,5.2,1,0
2023-10-21,TOR,BOS,122.7,125.0,36.2,44.4,20.3,30.5,6.9,8.9,0.449,0.382,1577.4,1475.6,3,0,110.0,95.5,46.2,43.6,28.4,23.8,-2.3,-8.2,-10.2,-2.0,101.8,-3,14.5,2.6,4.6,1,1
2023-10-22,BKN,CHA,115.9,119.5,47.3,42.8,25.1,23.7,8.9,18.0,0.48,0.545,1479.7,1542.9,0,1,107.7,106.7,41.3,41.3,21.5,24.4,-3.7,4.5,1.4,-9.1,-63.1,1,1.0,0.0,-2.8,1,1
2023-10-23,MIA,WAS,112.2,109.3,41.1,52.0,25.1,23.0,13.9,13.4,0.459,0.485,1524.5,1517.7,2,2,100.6,103.1,40.0,44.8,25.9,20.1,2.9,-10.9,2.1,0.6,6.8,0,-2.4,-4.8,5.8,1,1
2023-10-24,POR,CHA,112.5,126.8,51.7,51.4,19.8,31.9,20.7,8.4,0.435,0.405,1552.1,1498.1,2,3,116.7,102.1,38.8,40.2,24.9,27.6,-14.3,0.3,-12.2,12.3,54.0,1,14.7,-1.5,-2.6,1,1
2023-10-25,WAS,PHX,80.0,98.3,48.4,41.3,26.6,26.1,12.7,13.6,0.469,0.532,1541.9,1609.6,2,0,104.7,92.6,46.7,39.1,22.7,24.1,-18.3,7.1,0.4,-0.9,-67.7,-2,12.1,7.6,-1.4,1,0
2023-10-26,CHI,IND,99.1,83.7,44.0,37.0,26.9,24.9,7.8,11.3,0.51,0.46,1685.4,1474.3,1,2,101.8,110.6,44.4,45.9,25.5,26.1,15.5,7.0,2.0,-3.4,211.1,1,-8.8,-1.6,-0.6,1,0
2023-10-27,BOS,LAC,118.0,101.7,44.1,46.3,27.3,26.6,14.5,9.1,0.491,0.439,1571.0,1528.6,1,0,106.0,109.4,50.7,46.1,26.7,30.6,16.3,-2.2,0.7,5.4,42.4,-1,-3.4,4.6,-4.0,1,1
2023-10-28,MEM,PHX,91.0,97.8,41.3,48.6,25.2,28.4,13.7,18.1,0.399,0.449,1370.6,1546.3,2,2,118.1,106.6,43.9,49.5,23.7,22.8,-6.8,-7.3,-3.1,-4.4,-175.6,0,11.5,-5.6,0.9,1,0
2023-10-29,MEM,CHA,137.1,123.0,40.3,54.0,37.7,26.9,13.5,17.7,0.357,0.403,1489.2,1425.6,2,2,116.5,103.5,40.5,45.9,24.2,28.7,14.1,-13.7,10.8,-4.2,63.6,0,13.0,-5.4,-4.5,1,1
2023-10-30,DET,PHI,118.1,118.4,43.4,38.7,23.1,21.1,11.8,8.2,0.443,0.507,1482.1,1416.3,0,0,115.3,115.4,42.3,43.3,25.7,23.8,-0.4,4.6,2.0,3.5,65.8,0,-0.1,-1.0,1.9,1,1
2023-10-31,SA,MIL,104.7,98.4,45.4,48.5,24.2,21.3,13.9,11.0,0.412,0.468,1542.2,1481.1,0,0,118.9,108.2,45.5,40.8,21.0,20.6,6.3,-3.1,2.9,2.9,61.0,0,10.7,4.7,0.3,1,0
2023-11-01,WAS,UTA,87.1,95.0,37.8,56.1,30.9,31.8,13.9,11.3,0.507,0.307,1603.2,1451.5,3,0,111.9,111.1,45.3,43.1,24.4,28.2,-7.9,-18.3,-0.9,2.6,151.7,-3,0.8,2.2,-3.8,1,0
2023-11-02,MIN,DAL,108.9,113.0,45.1,38.7,22.2,22.6,10.8,12.3,0.464,0.483,1509.6,1404.8,3,1,107.1,111.9,48.5,45.8,21.8,23.1,-4.1,6.4,-0.4,-1.5,104.8,-2,-4.8,2.7,-1.3,1,1
2023-11-03,BOS,ATL,95.0,114.3,42.4,37.6,29.2,31.0,10.9,6.8,0.404,0.518,1395.5,1496.9,1,3,109.2,104.3,47.9,48.0,24.9,30.5,-19.3,4.8,-1.8,4.1,-101.4,2,4.9,-0.1,-5.6,1,0
2023-11-04,ORL,PHI,94.5,101.4,45.5,46.6,18.5,30.5,14.7,17.7,0.54,0.41,1577.4,1520.8,0,0,95.3,107.2,41.2,45.6,23.1,21.8,-6.8,-1.1,-12.0,-3.1,56.6,0,-11.9,-4.4,1.3,1,1
2023-11-05,OKC,HOU,100.9,138.6,40.4,46.5,19.6,24.7,10.1,10.4,0.502,0.478,1444.0,1433.9,1,2,111.0,104.2,39.9,44.7,28.0,24.5,-37.7,-6.1,-5.1,-0.4,10.1,1,6.8,-4.8,3.4,1,0
2023-11-06,HOU,DEN,91.3,85.8,43.0,49.7,27.0,18.7,14.6,12.3,0.416,0.493,1594.4,1489.6,3,2,114.5,110.7,48.2,43.8,27.5,19.0,5.5,-6.7,8.3,2.3,104.8,-1,3.8,4.5,8.5,1,1
2023-11-07,OKC,PHI,112.5,107.4,39.6,48.7,29.2,21.9,12.9,13.3,0.487,0.432,1522.3,1445.2,1,2,107.5,104.9,41.9,44.4,28.8,25.2,5.1,-9.1,7.3,-0.4,77.0,1,2.6,-2.5,3.6,1,0
2023-11-08,POR,LAC,120.4,121.7,46.4,40.6,19.6,22.0,14.8,5.5,0.489,0.487,1523.8,1505.1,2,0,106.4,102.8,49.4,42.7,29.7,23.2,-1.3,5.8,-2.4,9.2,18.7,-2,3.6,6.6,6.6,1,1
2023-11-09,WAS,CHI,99.0,104.4,44.8,43.8,25.9,26.7,17.7,9.6,0.42,0.465,1598.7,1493.3,0,2,113.9,102.9,40.3,42.2,25.2,25.7,-5.5,1.1,-0.8,8.0,105.4,2,11.1,-1.9,-0.4,1,0
2023-11-10,CHI,PHI,105.5,98.5,39.1,40.5,28.2,33.4,16.1,15.8,0.474,0.416,1489.9,1493.2,0,3,105.1,109.7,43.8,46.0,25.9,30.0,7.0,-1.3,-5.2,0.3,-3.3,3,-4.6,-2.1,-4.2,1,1
2023-11-11,DEN,TOR,100.4,121.3,44.8,56.6,32.2,21.9,11.4,11.5,0.469,0.492,1518.7,1534.6,0,0,124.8,114.5,45.7,45.3,25.9,25.2,-20.8,-11.8,10.3,-0.1,-15.9,0,10.3,0.5,0.7,1,0
2023-11-12,POR,OKC,122.1,98.7,52.7,46.5,22.4,25.7,14.4,14.2,0.445,0.441,1453.3,1480.3,3,0,111.5,113.0,45.1,45.9,20.9,30.5,23.4,6.2,-3.3,0.2,-27.0,-3,-1.4,-0.8,-9.6,1,1
2023-11-13,GS,DET,112.6,109.3,44.5,49.4,26.1,19.9,14.8,13.4,0.467,0.422,1484.3,1575.6,2,1,97.8,106.0,46.1,37.9,23.4,26.2,3.3,-4.8,6.2,1.4,-91.3,-1,-8.1,8.2,-2.8,1,1
2023-11-14,LAL,BOS,95.2,104.3,44.1,38.3,27.6,23.5,16.0,14.9,0.505,0.401,1624.8,1612.8,0,0,109.6,109.8,45.7,40.2,24.3,28.3,-9.1,5.8,4.1,1.1,12.0,0,-0.2,5.5,-4.1,1,0
2023-11-15,LAL,SAC,123.4,122.9,46.7,45.0,26.8,26.8,14.7,12.7,0.478,0.508,1571.4,1425.9,1,3,124.4,94.3,42.8,45.7,25.0,22.1,0.5,1.7,-0.0,2.0,145.5,2,30.1,-2.9,2.9,1,1
2023-11-16,DEN,ORL,107.9,111.5,41.6,46.4,34.9,23.9,11.5,11.3,0.501,0.439,1432.5,1447.7,0,1,110.0,114.0,41.5,43.3,29.5,24.1,-3.5,-4.8,11.0,0.2,-15.2,1,-4.0,-1.8,5.4,1,1
2023-11-17,LAC,ATL,85.5,108.6,42.6,52.5,29.3,29.5,14.9,8.4,0.421,0.484,1548.2,1581.2,2,2,114.5,124.2,51.3,47.5,24.4,23.7,-23.1,-9.9,-0.2,6.5,-33.1,0,-9.8,3.8,0.7,1,1
2023-11-18,TOR,GS,130.2,102.8,42.7,33.9,31.9,26.3,16.2,14.1,0.555,0.427,1486.1,1473.5,3,1,114.0,106.9,39.0,39.9,22.5,22.6,27.5,8.8,5.6,2.1,12.6,-2,7.2,-0.9,-0.1,1,1
2023-11-19,MIL,ORL,105.6,131.0,49.7,43.5,28.5,31.1,7.4,8.1,0.424,0.427,1395.1,1544.0,3,2,111.4,102.0,49.4,45.2,29.1,25.5,-25.5,6.2,-2.6,-0.7,-149.0,-1,9.4,4.2,3.7,1,0
2023-11-20,IND,MEM,109.7,120.8,50.9,35.3,27.2,22.6,11.9,9.6,0.491,0.398,1292.1,1572.9,3,3,97.6,109.0,44.2,43.2,18.7,27.7,-11.1,15.6,4.6,2.2,-280.7,0,-11.5,1.0,-9.0,1,0
2023-11-21,ORL,NY,93.3,118.6,52.0,49.5,18.6,23.4,14.5,17.8,0.374,0.542,1576.6,1454.3,1,0,106.4,108.5,41.3,41.3,26.9,21.4,-25.3,2.5,-4.8,-3.2,122.3,-1,-2.1,-0.0,5.5,1,0
2023-11-22,SA,HOU,110.8,98.2,47.0,46.5,25.6,26.4,8.0,10.6,0.477,0.432,1353.0,1432.5,2,1,116.4,108.6,41.3,44.6,24.8,24.5,12.6,0.5,-0.8,-2.6,-79.5,-1,7.9,-3.2,0.3,1,0
2023-11-23,CHA,ATL,113.3,118.3,48.1,45.7,25.6,19.6,14.5,15.4,0.5,0.434,1371.9,1459.0,2,3,105.9,106.1,48.7,46.3,27.1,26.4,-5.0,2.4,6.0,-0.9,-87.1,1,-0.2,2.4,0.7,1,0
2023-11-24,WAS,ORL,93.9,133.5,50.8,49.6,30.4,15.4,17.8,18.3,0.379,0.452,1605.7,1461.4,3,1,120.2,107.3,47.1,39.1,34.4,24.5,-39.6,1.3,15.0,-0.5,144.3,-2,12.9,8.0,9.9,1,0
2023-11-25,LAL,NO,103.6,111.6,45.9,37.9,32.3,22.1,12.2,8.8,0.51,0.446,1530.3,1511.2,0,3,101.1,126.6,46.6,46.9,25.6,24.8,-8.0,8.0,10.2,3.4,19.1,3,-25.5,-0.4,0.9,1,0
2023-11-26,LAC,CHA,111.1,97.1,51.6,43.2,22.8,22.2,14.5,16.5,0.498,0.41,1467.0,1485.5,0,2,112.0,110.4,51.8,40.8,29.0,25.4,14.0,8.3,0.7,-1.9,-18.4,2,1.6,10.9,3.5,1,1
2023-11-27,MIL,SA,107.0,113.8,40.7,41.2,20.8,25.7,15.1,9.6,0.478,0.44,1602.3,1520.2,0,2,107.1,98.5,41.1,41.8,25.4,25.7,-6.9,-0.4,-5.0,5.5,82.1,2,8.6,-0.7,-0.2,1,1
2023-11-28,LAC,WAS,118.0,111.7,37.3,50.0,22.5,26.7,18.7,12.2,0.528,0.42,1487.0,1549.4,0,0,96.9,97.2,49.7,40.9,20.7,30.2,6.3,-12.8,-4.2,6.5,-62.5,0,-0.3,8.8,-9.6,1,1
2023-11-29,OKC,DEN,121.6,92.5,46.7,52.4,28.3,25.7,7.0,10.9,0.475,0.448,1618.2,1524.7,0,0,110.6,99.7,42.0,44.2,26.9,28.8,29.1,-5.7,2.7,-3.9,93.5,0,10.9,-2.2,-1.9,1,1
2023-11-30,IND,DEN,103.6,98.0,38.0,45.1,25.3,21.9,15.3,14.1,0.463,0.47,1618.2,1526.6,1,0,103.7,111.1,41.0,40.7,19.5,17.5,5.6,-7.2,3.4,1.3,91.6,-1,-7.4,0.3,2.0,1,0
2023-12-01,HOU,MIA,139.9,110.9,45.4,40.7,24.6,28.0,15.8,12.5,0.448,0.42,1541.4,1522.9,1,1,102.8,105.2,45.2,44.6,25.5,31.4,29.1,4.7,-3.4,3.3,18.5,0,-2.4,0.6,-5.9,1,1
