game_id,game_date,matchup,home_team,home_pts,home_reb,home_ast,home_tov,home_fg_pct,away_team,away_pts,away_reb,away_ast,away_tov,away_fg_pct,home_win,point_diff,reb_diff,ast_diff,tov_diff,home_elo,away_elo,elo_diff,home_injuries,away_injuries,injury_diff,home_roll5_pts,away_roll5_pts,home_roll5_reb,away_roll5_reb,home_roll5_ast,away_roll5_ast,roll5_point_diff,roll5_reb_diff,roll5_ast_diff,home_advantage
0022400705,2025-02-03,MIL @ OKC,OKC,13,7,0,2,0.556,MIL,10,1,1,0,0.364,1,3,6,-1,2,1631.7,1534.1,97.60000000000014,3,2,-1,13.0,10.0,7.0,1.0,0.0,1.0,3.0,6.0,-1.0,1
0022400701,2025-02-03,ATL @ DET,DET,30,6,14,3,0.348,ATL,34,0,9,5,0.563,0,-4,6,5,-2,1514.6,1495.1,19.5,2,0,-2,30.0,34.0,6.0,0.0,14.0,9.0,-4.0,6.0,5.0,1
0022400702,2025-02-03,HOU @ NYK,NYK,7,1,1,1,0.429,HOU,11,6,1,1,0.333,0,-4,-5,0,0,1548.8,1553.7,-4.900000000000091,0,3,3,7.0,11.0,1.0,6.0,1.0,1.0,-4.0,-5.0,0.0,1
0022400708,2025-02-03,GSW vs. ORL,GSW,8,5,2,2,0.5,ORL,2,2,1,1,0.5,1,6,3,1,1,1534.1,1500.0,34.09999999999991,3,3,0,8.0,2.0,5.0,2.0,2.0,1.0,6.0,3.0,1.0,1
0022400706,2025-02-03,NOP @ DEN,DEN,11,6,4,0,0.357,NOP,14,6,5,1,0.385,0,-3,0,-1,-1,1543.9,1402.4,141.5,2,0,-2,11.0,14.0,6.0,6.0,4.0,5.0,-3.0,0.0,-1.0,1
0022400716,2025-02-04,IND @ POR,POR,0,1,0,0,,IND,0,2,6,2,0.0,0,0,-1,-6,-2,1475.6,1543.9,-68.30000000000018,1,3,2,0.0,0.0,1.0,2.0,0.0,6.0,0.0,-1.0,-6.0,1
0022400713,2025-02-04,NYK @ TOR,TOR,16,3,9,2,0.583,NYK,4,0,1,0,0.4,1,12,3,8,2,1446.3,1548.8,-102.5,0,1,1,16.0,4.0,3.0,0.0,9.0,1.0,12.0,3.0,8.0,1
0022400714,2025-02-04,MIA @ CHI,CHI,5,0,0,0,1.0,MIA,5,2,3,0,0.167,0,0,-2,-3,0,1490.2,1480.5,9.700000000000045,0,3,3,5.0,5.0,0.0,2.0,0.0,3.0,0.0,-2.0,-3.0,1
0022400715,2025-02-04,LAC vs. LAL,LAC,8,10,3,2,0.286,LAL,6,6,0,0,0.667,1,2,4,3,2,1543.9,1543.9,0.0,3,1,-2,8.0,6.0,10.0,6.0,3.0,0.0,2.0,4.0,3.0,1
0022400711,2025-02-04,HOU @ BKN,BKN,2,2,4,1,0.25,HOU,4,1,1,0,0.5,0,-2,1,3,1,1426.8,1553.7,-126.90000000000009,0,3,3,2.0,7.5,2.0,3.5,4.0,1.0,-5.5,-1.5,3.0,1
